Text,Audio_File
"A. Devaraj vs.  rajammal on 1 february, 2011 author: g.m. Akbar ali bench: g.m. Akbar ali in the HC  of judicature at madras dated:",audio_1_1.mp3
1-2-2011 coram the honourable mr. J.  g.m. Akbar ali crl.O.P.  no.27211 of 2010 and m.p.nos.1 and 2 of 2010 a. Devaraj ..petitioner vs.  rajammal,audio_1_2.mp3
..respondent Crl.  O.P.  filed under S.  482 Cr.P.C.  for the reliefs as stated therein. For petitioner : Mr.  n. Sudharsan for,audio_1_3.mp3
respondent : Mr.  p. Ananda kumar order the petition is filed seeking a direction to set aside the order dated 10.11.2009 made in Crl.  r.c.no.37/2008,audio_1_4.mp3
"by the learned additional district and sessions judge, gopichettypalayam and confirming the order passed by the learned judicial magistrate, sathyamangalam in cmp no.3579 of 2007",audio_1_5.mp3
"in c.c.no.595 of 2004 dated 2.5.2008. 2. Petitioner is the accused in c.c no.595 of 2004 pending on the file of judicial magistrate, sathyamangalam, erode.",audio_1_6.mp3
The said proceedings was initiated on a Pvt.  complaint lodged by the respondent for an offence under sec.138 r/w  142 of NI Act ,audio_1_7.mp3
"(hereinaftera. Devaraj vs.  rajammal on 1 february, 2011",audio_1_8.mp3
"3. Pending proceedings, the petitioner has filed cmp no.3579 of 2007 under sec.45 of the indian evidence act seeking for an order to send the",audio_1_9.mp3
"cheque to the expert to determine the ""age of the ink"" found in the cheque. It was opposed by the complainant. The learned judicial magistrate",audio_1_10.mp3
"relied on a decision reported in 2008 (1) ctc 496 (s.gopal vs.  p. Balachandran), wherein it is held that there is no scientific facility to",audio_1_11.mp3
"determine the age of the ink. Consequently, the learned magistrate dismissed the Appl. . 4. The petitioner has filed a revision petition in Crl.  r.c.no.37 of",audio_1_12.mp3
"2008 before the learned additional district and sessions judge, gopichettipalayam. The learned additional district and sessions judge (fast track court ii), after considering the points,",audio_1_13.mp3
"concurred with the learned judicial magistrate and dismissed the revision. Aggrieved by which, the accused is before this court under sec.482 Cr.P.C. ",audio_1_14.mp3
"5. Mr.  n. Sudharsan, learned counsel for the petitioner drew our attention to an order passed by this court on 2.11.2010 in crp (pd) No. ",audio_1_15.mp3
"1475 of 2010, wherein, his lordship r.S.  ramanathan j. Observed as follows: ""6. It is seen from the judgment referred supra, the learned judge after",audio_1_16.mp3
"getting opinion from the assistant director, document division, forensic science Dept. , Govt.  of tamil nadu came to the conclusion that no such facility is available",audio_1_17.mp3
"in the forensic science Dept. , Govt.  of tamil nadu and also on the basis of the opinion expressed by the assistant director held that the",audio_1_18.mp3
"age of the ink cannot be found out. Now the revision petitioner has produced a brochure downloaded from the central forensic science laboratories, hyderabad website",audio_1_19.mp3
"wherein it has been stated that they are undertaking the work of determining the age of the ink. Further, it is seen from the letter",audio_1_20.mp3
"written from the office of Govt.  examiner of questioned documents directorate of forensic science, hyderabad, the age of the ink can be ascertained by comparing",audio_1_21.mp3
it with the admitted signature of the same period and at the same time it has been stated that there is no foolproof method by,audio_1_22.mp3
"which the exact age of the writing/signature can be determined or authenticated. However, with a view to give fair trial to the revision petitioner and",audio_1_23.mp3
"having regard to the particulars available from the website of central forensic science laboratory, hyderabad, the prayer for the revision petitioner can be considered and",audio_1_24.mp3
"the document can be sent to central directorate of forensic science in the office of Govt.  examiner of questioned documents. Further, the revision petitioner should",audio_1_25.mp3
also send the admitted signature of the first defendant alleged to have been written during the relevant period during which the disputed document was also,audio_1_26.mp3
"signed. 6. He also relied on a decision reported in 2007 (1) crimes 106 (SC  ), (kalyani baskar vs.  m.S.  sampornam), wherein the apex",audio_1_27.mp3
"court has held as follows: ""where accused in a cheque bouncing Cas.  prayed to magistrate to send cheque in question for examination by handwriting expert",audio_1_28.mp3
"to ascertain genuineness of signatures, as a fair trial request should have been allowed in exercise of power u/sa. Devaraj vs.  rajammal on 1 february,",audio_1_29.mp3
2011,audio_1_30.mp3
"7. On the contrary, Mr.  anandakumar, the learned counsel for the respondent submitted that the alleged transaction took place in the year 2004 and the",audio_1_31.mp3
"accused has chosen to file an Appl.  only in the year 2007 and therefore, at the belated stage, the Appl.  cannot be entertained and it",audio_1_32.mp3
